#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00096,0,0,0,0,0,0,26.1484
HG00097,0,0,0,0,0,0,5.71207
HG00099,0,0,0,0,0,0,10.8652
HG00100,0,0,0,1.78141,0,0,25.4615
HG00101,0,0,0,0,0,0,8.00917
HG00102,0,0,0,1.78141,0,0,22.6055
HG00103,0,0,0,0,0,0,13.7212
HG00105,0,0,0,0,0,0,16.318
HG00106,0,0,0,0,0,0,8.00917
HG00107,0,0,0,1.78141,0,0,8.77048
HG00108,0,0,0,1.78141,0,0,14.233
HG00109,0,0,0,1.78141,0,0,19.9353
HG00110,0,0,0,0,0,0,19.174
HG00111,0,0,0,1.78141,0,0,15.6311
HG00112,0,0,0,1.78141,0,0,12.7751
HG00113,0,0,0,3.56282,0,0,27.3714
HG00114,0,0,0,3.56282,0,0,21.5956
HG00115,0,0,0,1.78141,0,0,18.2278
HG00116,0,0,0,0,0,0,2.85604
HG00117,0,0,0,0,0,0,8.00917
HG00118,0,0,0,0,0,0,8.00917
HG00119,0,0,0,1.78141,0,0,12.8349
HG00120,0,0,0,0,0,0,28.7549
HG00121,0,0,0,0,0,0,18.9244
HG00122,0,0,0,3.56282,0,0,24.9908
HG00123,0,0,0,1.78141,0,0,23.6903
HG00125,0,0,0,0,0,0,9.71666
HG00126,0,0,0,1.78141,0,0,21.0936
HG00127,0,0,0,1.78141,0,0,18.4871
HG00128,0,0,0,0,0,0,21.7707
HG00129,0,0,0,1.78141,0,0,29.3926
HG00130,0,0,0,3.56282,0,0,22.4344
HG00131,0,0,0,0,0,0,20.4461
HG00132,0,0,0,1.78141,0,0,15.6311
HG00133,0,0,0,0,0,0,12.0736
HG00136,0,0,0,1.78141,0,0,18.2376
HG00137,0,0,0,1.78141,0,0,25.212
HG00138,0,0,0,1.78141,0,0,12.7751
HG00139,0,0,0,1.78141,0,0,16.2204
HG00140,0,0,0,1.78141,0,0,21.0839
HG00141,0,0,0,0,0,0,10.8652
HG00142,0,0,0,1.78141,0,0,8.77048
HG00143,0,0,0,3.56282,0,0,28.466
HG00145,0,0,0,3.56282,0,0,32.8339
HG00146,0,0,0,0,0,0,13.835
HG00148,0,0,0,0,0,0,14.9199
HG00149,0,0,0,0,0,0,10.8652
HG00150,0,0,0,1.78141,0,0,36.367
HG00151,0,0,0,0,0,0,10.8652
HG00154,0,0,0,0,0,0,33.1325
HG00155,0,0,0,1.78141,0,0,24.0634
HG00157,0,0,0,1.78141,0,0,27.8185
HG00158,0,0,0,1.78141,0,0,14.233
HG00159,0,0,0,0,0,0,6.86062
HG00160,0,0,0,0,0,0,6.86062
HG00171,0,0,0,0,0,0,6.86062
HG00173,0,0,0,0,0,0,25.9086
HG00174,0,0,0,1.78141,0,0,22.5418
HG00176,0,0,0,0,0,0,20.9216
HG00177,0,0,0,0,0,0,18.9244
HG00178,0,0,0,0,0,0,28.7451
HG00179,0,0,0,0,0,0,6.61107
HG00180,0,0,0,1.78141,0,0,15.6311
HG00181,0,0,0,0,0,0,4.00458
HG00182,0,0,0,1.78141,0,0,8.77048
HG00183,0,0,0,0,0,0,27.67
HG00185,0,0,0,1.78141,0,0,25.4615
HG00186,0,0,0,1.78141,0,0,14.233
HG00187,0,0,0,0,0,0,29.5937
HG00188,0,0,0,0,0,0,19.2877
HG00189,0,0,0,0,0,0,32.7393
HG00190,0,0,0,0,0,0,18.9147
HG00231,0,0,0,1.78141,0,0,17.0793
HG00232,0,0,0,0,0,0,21.2849
HG00233,0,0,0,1.78141,0,0,21.4569
HG00234,0,0,0,0,0,0,18.0655
HG00235,0,0,0,0,0,0,4.00458
HG00236,0,0,0,0,0,0,13.7212
HG00237,0,0,0,0,0,0,25.8988
HG00238,0,0,0,1.78141,0,0,19.6858
HG00239,0,0,0,0,0,0,15.459
HG00240,0,0,0,0,0,0,20.7457
HG00242,0,0,0,1.78141,0,0,14.233
HG00243,0,0,0,0,0,0,15.1694
HG00244,0,0,0,0,0,0,9.46711
HG00245,0,0,0,3.56282,0,0,18.9891
HG00246,0,0,0,1.78141,0,0,14.2232
HG00250,0,0,0,1.78141,0,0,13.9835
HG00251,0,0,0,1.78141,0,0,18.2278
HG00252,0,0,0,0,0,0,12.3231
HG00253,0,0,0,0,0,0,9.46711
HG00254,0,0,0,1.78141,0,0,18.6009
HG00255,0,0,0,1.78141,0,0,17.089
HG00256,0,0,0,1.78141,0,0,14.233
HG00257,0,0,0,0,0,0,14.0512
HG00258,0,0,0,0,0,0,9.71666
HG00259,0,0,0,1.78141,0,0,11.6265
HG00260,0,0,0,1.78141,0,0,17.0793
HG00261,0,0,0,0,0,0,13.4717
HG00262,0,0,0,1.78141,0,0,25.6777
HG00263,0,0,0,0,0,0,24.9998
HG00264,0,0,0,0,0,0,9.71666
HG00265,0,0,0,1.78141,0,0,21.0839
HG00266,0,0,0,0,0,0,17.8396
HG00267,0,0,0,0,0,0,16.4415
HG00268,0,0,0,0,0,0,10.6157
HG00269,0,0,0,0,0,0,8.30879
HG00271,0,0,0,0,0,0,10.8652
HG00272,0,0,0,1.78141,0,0,22.6055
HG00273,0,0,0,1.78141,0,0,30.9143
HG00274,0,0,0,0,0,0,9.45733
HG00275,0,0,0,0,0,0,10.8652
HG00276,0,0,0,0,0,0,16.318
HG00277,0,0,0,1.78141,0,0,18.2278
HG00278,0,0,0,0,0,0,26.3743
HG00280,0,0,0,1.78141,0,0,19.6858
HG00281,0,0,0,1.78141,0,0,8.77048
HG00282,0,0,0,0,0,0,9.45733
HG00284,0,0,0,0,0,0,30.7422
HG00285,0,0,0,1.78141,0,0,30.9143
HG00288,0,0,0,1.78141,0,0,18.2278
HG00290,0,0,0,0,0,0,15.1694
HG00304,0,0,0,1.78141,0,0,28.0582
HG00306,0,0,0,1.78141,0,0,7.62194
HG00308,0,0,0,1.78141,0,0,12.7751
HG00309,0,0,0,1.78141,0,0,35.2919
HG00310,0,0,0,1.78141,0,0,15.6311
HG00311,0,0,0,1.78141,0,0,25.4615
HG00313,0,0,0,1.78141,0,0,32.3722
HG00315,0,0,0,0,0,0,18.0558
HG00318,0,0,0,0,0,0,12.3134
HG00319,0,0,0,0,0,0,17.7661
HG00320,0,0,0,0,0,0,13.7212
HG00321,0,0,0,0,0,0,16.318
HG00323,0,0,0,0,0,0,10.6157
HG00324,0,0,0,1.78141,0,0,19.9353
